param_regressor__colsample_bytree,param_regressor__gamma,param_regressor__learning_rate,param_regressor__max_depth,param_regressor__min_child_weight,param_regressor__n_estimators,param_regressor__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
1.0,0.5,0.05,7,3,10,1.0,"{'regressor__colsample_bytree': 1.0, 'regressor__gamma': 0.5, 'regressor__learning_rate': 0.05, 'regressor__max_depth': 7, 'regressor__min_child_weight': 3, 'regressor__n_estimators': 10, 'regressor__subsample': 1.0}",0.20680741918093426,0.261320463713404,0.28246685924572135,0.17199839090696067,0.29857514889427306,0.20298270565894538,0.2694646817371662,0.22236458695301076,0.3061103742852753,0.26834512095376273,0.24904357515294534,0.04280260615185143,4,0.426350080020623,0.444219558547977,0.44505978164361126,0.414936314707847,0.4423665944931149,0.4446230190706799,0.4400925310173539,0.4373261185337638,0.43934407973954925,0.4170737508049943,0.4351391828579515,0.010871125424954477
1.0,0.5,0.05,7,3,60,1.0,"{'regressor__colsample_bytree': 1.0, 'regressor__gamma': 0.5, 'regressor__learning_rate': 0.05, 'regressor__max_depth': 7, 'regressor__min_child_weight': 3, 'regressor__n_estimators': 60, 'regressor__subsample': 1.0}",0.4837854018657397,0.4669752762063145,0.5494764166418403,0.4328035333868623,0.5583776366234758,0.4368824286552042,0.5656525986782099,0.45156416930634435,0.5543954072618643,0.542159830170101,0.5042072698795957,0.051888531097406425,2,0.9204088483829751,0.9130961412099307,0.907651627282075,0.9051097276307856,0.9159978995427609,0.910382251373306,0.906574127749422,0.9163984847583402,0.9177386854042461,0.8968172882391184,0.911017508157296,0.006778464936039468
1.0,0.5,0.1,7,3,10,1.0,"{'regressor__colsample_bytree': 1.0, 'regressor__gamma': 0.5, 'regressor__learning_rate': 0.1, 'regressor__max_depth': 7, 'regressor__min_child_weight': 3, 'regressor__n_estimators': 10, 'regressor__subsample': 1.0}",0.38016938966617586,0.37259045215421505,0.43000598546729807,0.3538171536857294,0.4250639219359046,0.30972291240027916,0.4357940021486367,0.34427463355712407,0.43717088757442146,0.3899754664529195,0.3878584805042704,0.04165384959332665,3,0.6746939218785537,0.6747532363421351,0.6687452218318828,0.6591881568137556,0.6668285806999212,0.6738966847532302,0.6674861565350552,0.6703675929526076,0.6698014474981222,0.6373359545506778,0.666309695385594,0.010609377796975836
1.0,0.5,0.1,7,3,60,1.0,"{'regressor__colsample_bytree': 1.0, 'regressor__gamma': 0.5, 'regressor__learning_rate': 0.1, 'regressor__max_depth': 7, 'regressor__min_child_weight': 3, 'regressor__n_estimators': 60, 'regressor__subsample': 1.0}",0.529011387550772,0.46884414656171647,0.5620444244930245,0.5071152614812484,0.5479326788461907,0.49710429660915445,0.6218112448657509,0.4723023955969785,0.559430390696046,0.5301756201377219,0.5295771846838603,0.04395223507782621,1,0.974593329969371,0.968950246027195,0.9686536831955203,0.9674195262363576,0.971647657645495,0.9699824813525005,0.9704527891817765,0.9664389364681233,0.9707994794817572,0.9637454567230035,0.9692683586281101,0.002840402077342903
