param_regressor__colsample_bytree,param_regressor__gamma,param_regressor__learning_rate,param_regressor__max_depth,param_regressor__min_child_weight,param_regressor__n_estimators,param_regressor__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
1.0,0.1,0.05,8,2,10,1.0,"{'regressor__colsample_bytree': 1.0, 'regressor__gamma': 0.1, 'regressor__learning_rate': 0.05, 'regressor__max_depth': 8, 'regressor__min_child_weight': 2, 'regressor__n_estimators': 10, 'regressor__subsample': 1.0}",0.2797863946371847,0.2542181910332185,0.3051694603593472,0.3473849013538518,0.35080865819853835,0.21348348484117885,0.2773954017666135,0.3447925195831417,0.2697821974197162,0.25624141956504354,0.2899062628757834,0.04378318689742983,4,0.4689237920813991,0.46897573600681897,0.4710521087102061,0.4630619136759344,0.46350868781920973,0.46318358748767974,0.47423760703441,0.4768759164383286,0.4599055789214578,0.46021802888917795,0.4669942957064622,0.00559043094156055
1.0,0.1,0.05,8,2,60,1.0,"{'regressor__colsample_bytree': 1.0, 'regressor__gamma': 0.1, 'regressor__learning_rate': 0.05, 'regressor__max_depth': 8, 'regressor__min_child_weight': 2, 'regressor__n_estimators': 60, 'regressor__subsample': 1.0}",0.4457914298056873,0.5067346539502904,0.585472532576442,0.5947434588077742,0.6637979333511821,0.4645433338737326,0.5690659427544364,0.5746134603770474,0.5459139020876557,0.46291762848084184,0.541359427606509,0.06638311433049565,2,0.9327128658875702,0.9386337946043798,0.9364101632963395,0.9351961235961856,0.9377942284008555,0.937955281080989,0.9399102835558248,0.9379319953689544,0.9364067649516156,0.9447809217643389,0.9377732422507054,0.0030074581145312284
1.0,0.1,0.1,8,2,10,1.0,"{'regressor__colsample_bytree': 1.0, 'regressor__gamma': 0.1, 'regressor__learning_rate': 0.1, 'regressor__max_depth': 8, 'regressor__min_child_weight': 2, 'regressor__n_estimators': 10, 'regressor__subsample': 1.0}",0.36347823273205937,0.4016903855116428,0.4604184702579992,0.49260314604253386,0.553359762055768,0.30760683370248676,0.40919625419223016,0.46138444292876457,0.39716737202630226,0.37252584841747727,0.42194307478672644,0.06739334780928002,3,0.6888542622750908,0.682770772920106,0.6969663123201565,0.6929799934198538,0.6989053509439835,0.6984397554711497,0.6956646848535311,0.6929092133231302,0.6931248689009812,0.6904100115309011,0.6931025225958883,0.004644864715497226
1.0,0.1,0.1,8,2,60,1.0,"{'regressor__colsample_bytree': 1.0, 'regressor__gamma': 0.1, 'regressor__learning_rate': 0.1, 'regressor__max_depth': 8, 'regressor__min_child_weight': 2, 'regressor__n_estimators': 60, 'regressor__subsample': 1.0}",0.4682143475645215,0.5045735186283757,0.6041209452080615,0.6072612657454887,0.6993948039864882,0.46496026909929244,0.5923137891930773,0.5929846698668428,0.5522736801808781,0.47232067701012836,0.5558417966483156,0.07338056300498351,1,0.9840966952222271,0.9853457872718738,0.9846455126226596,0.9843432287976549,0.9842918693136785,0.9835954763039217,0.9821294092297467,0.9807275237286553,0.9849953497848586,0.9846160969715678,0.9838786949246844,0.0013429509020637463
