param_regressor__colsample_bytree,param_regressor__gamma,param_regressor__learning_rate,param_regressor__max_depth,param_regressor__min_child_weight,param_regressor__n_estimators,param_regressor__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0.8,0.1,0.05,9,3,10,1.0,"{'regressor__colsample_bytree': 0.8, 'regressor__gamma': 0.1, 'regressor__learning_rate': 0.05, 'regressor__max_depth': 9, 'regressor__min_child_weight': 3, 'regressor__n_estimators': 10, 'regressor__subsample': 1.0}",0.36340679264349085,0.35676351256664673,0.3591235665020851,0.38891906648213737,0.35900026181236566,0.38473866226205045,0.38012257314965925,0.3994003762880416,0.3814324840496294,0.39866802413329727,0.3771575319889404,0.015621230876773364,4,0.5266856343553883,0.5307847393853005,0.5417925748193035,0.5345863108123357,0.5366454701318748,0.5348379655906559,0.5315492170427183,0.5370076618050956,0.5337435176836263,0.5361217528699589,0.5343754844496258,0.0038835116347785224
0.8,0.1,0.05,9,3,60,1.0,"{'regressor__colsample_bytree': 0.8, 'regressor__gamma': 0.1, 'regressor__learning_rate': 0.05, 'regressor__max_depth': 9, 'regressor__min_child_weight': 3, 'regressor__n_estimators': 60, 'regressor__subsample': 1.0}",0.6828794754228747,0.6416054357334717,0.6238296695082501,0.7234455348770061,0.6629430546276374,0.6883779939125858,0.68315248372898,0.7114578136078374,0.7307941448846492,0.7112270291362686,0.6859712635439561,0.03329313660566903,2,0.9784376746975206,0.9785868390224861,0.9800895499525827,0.9777655892330835,0.9805370900054311,0.97885902907639,0.9802590447955445,0.9782921395473896,0.9792622979438452,0.9792307515628825,0.9791320005837155,0.0008726044027830522
0.8,0.1,0.1,9,3,10,1.0,"{'regressor__colsample_bytree': 0.8, 'regressor__gamma': 0.1, 'regressor__learning_rate': 0.1, 'regressor__max_depth': 9, 'regressor__min_child_weight': 3, 'regressor__n_estimators': 10, 'regressor__subsample': 1.0}",0.5141146420501275,0.49892605258471046,0.505543629312585,0.5530193849461875,0.49759379648677693,0.540774880851864,0.5120022599682117,0.581569048483223,0.5686549721561309,0.5737206820127649,0.5345919348852581,0.03112929921318815,3,0.7722759374063146,0.7752651816520073,0.7839476716859626,0.7748178644514675,0.778712932256846,0.7706366382418627,0.7652965051064473,0.7779548886068752,0.7850137538992158,0.7762027526061616,0.7760124125913161,0.005610444726760748
0.8,0.1,0.1,9,3,60,1.0,"{'regressor__colsample_bytree': 0.8, 'regressor__gamma': 0.1, 'regressor__learning_rate': 0.1, 'regressor__max_depth': 9, 'regressor__min_child_weight': 3, 'regressor__n_estimators': 60, 'regressor__subsample': 1.0}",0.6796880883155301,0.6545410541859251,0.6525350918826183,0.7475455373253171,0.6670622758652962,0.7268581699825795,0.6556358352966191,0.7393320801103747,0.7523622362617178,0.7213222209147321,0.699688259014071,0.03938210355125213,1,0.9977442429306729,0.9974488108992005,0.9978605682787227,0.9967140593005072,0.9975902106051935,0.9973393543034345,0.9978000726067602,0.9974545838548851,0.9978980656066206,0.9973842645922595,0.9975234232978256,0.0003320245159040043
