param_regressor__colsample_bytree,param_regressor__gamma,param_regressor__learning_rate,param_regressor__max_depth,param_regressor__min_child_weight,param_regressor__n_estimators,param_regressor__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
1.0,0.1,0.05,7,2,10,1.0,"{'regressor__colsample_bytree': 1.0, 'regressor__gamma': 0.1, 'regressor__learning_rate': 0.05, 'regressor__max_depth': 7, 'regressor__min_child_weight': 2, 'regressor__n_estimators': 10, 'regressor__subsample': 1.0}",0.3604546238388465,0.12182426204345931,0.22866189995141006,0.2853575746577063,0.22099800420973337,0.27997143415858095,0.2606629874509807,0.2507749445676243,0.1618580140442154,0.18961129368369167,0.23601750386062487,0.06453613123604318,4,0.4538949926907251,0.4678718144206162,0.46697167750242563,0.451833254832936,0.452971310789419,0.4468740483214898,0.4432814039855326,0.4614893651409453,0.4616049005534416,0.4513041309232755,0.45580968991608073,0.007877602362623245
1.0,0.1,0.05,7,2,60,1.0,"{'regressor__colsample_bytree': 1.0, 'regressor__gamma': 0.1, 'regressor__learning_rate': 0.05, 'regressor__max_depth': 7, 'regressor__min_child_weight': 2, 'regressor__n_estimators': 60, 'regressor__subsample': 1.0}",0.5591215377553567,0.08553986657986368,0.4820272204626157,0.5377089452048218,0.4525316448452974,0.5088642217193798,0.5226917585457809,0.5288530970145796,0.2837244634876426,0.32159580353385864,0.42826585591491967,0.1441672885190042,2,0.9210956883512083,0.9324534399172759,0.9209246051200951,0.9224345332888931,0.9172312350150009,0.9169624602974494,0.9094802940206869,0.9277271322025504,0.9170197006656751,0.9319700123371343,0.921729910121597,0.006874398357950425
1.0,0.1,0.1,7,2,10,1.0,"{'regressor__colsample_bytree': 1.0, 'regressor__gamma': 0.1, 'regressor__learning_rate': 0.1, 'regressor__max_depth': 7, 'regressor__min_child_weight': 2, 'regressor__n_estimators': 10, 'regressor__subsample': 1.0}",0.47836493808786273,0.14220696707277847,0.3865127477893472,0.40933556144303485,0.32509665447206126,0.3798401850782527,0.40517525638059504,0.4068139807474548,0.22671713714273822,0.263546208240906,0.34236096364550317,0.09715014960094588,3,0.6844175028972102,0.6993538689529364,0.6900373672397551,0.6869253966549325,0.6782210060139533,0.6750234289611229,0.6708277126835399,0.6863171210550288,0.688220508520748,0.6892676019978796,0.6848611514977108,0.0078225421409473
1.0,0.1,0.1,7,2,60,1.0,"{'regressor__colsample_bytree': 1.0, 'regressor__gamma': 0.1, 'regressor__learning_rate': 0.1, 'regressor__max_depth': 7, 'regressor__min_child_weight': 2, 'regressor__n_estimators': 60, 'regressor__subsample': 1.0}",0.5730815073376795,0.14511291331861886,0.5557951652726834,0.5389645147269528,0.4517322543230513,0.5010967570805169,0.5442313745448967,0.5490110817618887,0.3858575159683949,0.3563775707518809,0.46012606550865637,0.1266345790011262,1,0.9823101535660389,0.9777764604666048,0.9744318081186253,0.9781360151146538,0.9768205163761965,0.9729969787300566,0.9723823253789862,0.9807441309575486,0.9811078258259192,0.9805273491734363,0.9777233563708065,0.0033491576797550697
