param_regressor__colsample_bytree,param_regressor__gamma,param_regressor__learning_rate,param_regressor__max_depth,param_regressor__min_child_weight,param_regressor__n_estimators,param_regressor__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0.8,1.0,0.05,8,3,10,1.0,"{'regressor__colsample_bytree': 0.8, 'regressor__gamma': 1.0, 'regressor__learning_rate': 0.05, 'regressor__max_depth': 8, 'regressor__min_child_weight': 3, 'regressor__n_estimators': 10, 'regressor__subsample': 1.0}",0.1803926104069674,0.21047753291588644,0.2639694836853317,0.2190526163484101,0.28596608489688646,0.26220364355574355,0.24561188635979936,0.24421893752363488,0.20080600689192252,0.23687349457373363,0.2349572297158316,0.03063457237763556,4,0.4407914724654254,0.46015151913684305,0.4226115107440954,0.45177162219196343,0.4555090292408772,0.43406488337707805,0.44463610424438715,0.4510386622376029,0.4435313852501397,0.45057181796179024,0.44546780068502023,0.01044991625417612
0.8,1.0,0.05,8,3,60,1.0,"{'regressor__colsample_bytree': 0.8, 'regressor__gamma': 1.0, 'regressor__learning_rate': 0.05, 'regressor__max_depth': 8, 'regressor__min_child_weight': 3, 'regressor__n_estimators': 60, 'regressor__subsample': 1.0}",0.44548454840832796,0.4551981662764536,0.5753561054191147,0.4916448108526492,0.5973055627544138,0.49196068637979884,0.47241206806692426,0.5604579999999266,0.3874330314088148,0.4151681248672615,0.4892421104433685,0.06586896463043264,2,0.9354825369461668,0.9424770510283322,0.9352383926397189,0.9365793562648391,0.9392342016613726,0.9413475869844523,0.9389509796526418,0.9432273149212942,0.9364800758209174,0.9477318324069607,0.9396749328326696,0.0038203379102591645
0.8,1.0,0.1,8,3,10,1.0,"{'regressor__colsample_bytree': 0.8, 'regressor__gamma': 1.0, 'regressor__learning_rate': 0.1, 'regressor__max_depth': 8, 'regressor__min_child_weight': 3, 'regressor__n_estimators': 10, 'regressor__subsample': 1.0}",0.26362193027474823,0.31873388806322767,0.44334805628458807,0.3339737935803302,0.4730643466278466,0.40930405910374934,0.36002000178973714,0.3878255904363377,0.2556669908699416,0.3529284346017465,0.3598487091632253,0.06748313994857812,3,0.6728453132672042,0.6888082666857045,0.6760816931794809,0.6816186539316811,0.6970127365372116,0.665068350670373,0.6796983716883183,0.683578144698529,0.6773786522648995,0.6950315467534741,0.6817121729676876,0.009356993253648038
0.8,1.0,0.1,8,3,60,1.0,"{'regressor__colsample_bytree': 0.8, 'regressor__gamma': 1.0, 'regressor__learning_rate': 0.1, 'regressor__max_depth': 8, 'regressor__min_child_weight': 3, 'regressor__n_estimators': 60, 'regressor__subsample': 1.0}",0.45543749663599853,0.4733440686237774,0.6473785017558019,0.49114161114377275,0.6431530808037713,0.5411784231027598,0.46759126487098024,0.5803468247830446,0.3787375025995845,0.44854216123034796,0.5126850935549838,0.08362597749286826,1,0.9835113614463342,0.987860004302331,0.9852469739609802,0.9816794220514024,0.9849823447137617,0.9874245055644569,0.9848030901255166,0.9844298576056122,0.983529314616596,0.9863780807570902,0.9849844955144083,0.0017828319150154119
