mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__learning_rate,param_regressor__max_depth,param_regressor__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.015671825408935545,0.003815144204541173,0.002494478225708008,0.0007988990512738399,0.1,2,10,"{'regressor__learning_rate': 0.1, 'regressor__max_depth': 2, 'regressor__n_estimators': 10}",0.15096411337033677,0.2849831414583671,0.2798796099723645,0.2770350868410483,0.10718010711104753,0.22000841175063285,0.07557203056109746,8,0.41140314342916817,0.41133927140576987,0.3970553855980663,0.3967346934944376,0.43470837689016895,0.41024817416352216,0.013838278755335377
0.0395876407623291,0.007738945462052223,0.003634929656982422,0.0007907348627065235,0.1,2,25,"{'regressor__learning_rate': 0.1, 'regressor__max_depth': 2, 'regressor__n_estimators': 25}",0.2881955173204197,0.3888524202631558,0.42867490272662145,0.47501801789946385,0.22422561730235968,0.36099329510240413,0.09204725136046074,7,0.6394223694791165,0.6616206926209933,0.6390283969948232,0.6404771996437897,0.6464898214620289,0.6454076960401502,0.00854238419442204
0.059205150604248045,0.01707249313762935,0.0033533573150634766,0.000869941429149847,0.1,4,10,"{'regressor__learning_rate': 0.1, 'regressor__max_depth': 4, 'regressor__n_estimators': 10}",0.34647048545024606,0.35338438475690837,0.39082837538958726,0.49568636985473014,0.2611026255493355,0.36949444820016153,0.07604993328415188,6,0.6964742613998165,0.7013977256667303,0.6964398798128473,0.6837839443482903,0.6755772174313055,0.690734605731798,0.009562991582492927
0.14354138374328612,0.02100034269774775,0.002583026885986328,0.00020652086511168598,0.1,4,25,"{'regressor__learning_rate': 0.1, 'regressor__max_depth': 4, 'regressor__n_estimators': 25}",0.41705671932465893,0.5367341755523454,0.5679793990037354,0.6339755906640715,0.4505293490232287,0.5212550467136079,0.07872497100599285,2,0.9089562590494119,0.9238179676478171,0.9231491001690957,0.9083777889074288,0.9058118655713328,0.9140225962690174,0.0077998730175414775
0.027929115295410156,0.0006449265911781611,0.004090118408203125,2.492513166185007e-05,0.3,2,10,"{'regressor__learning_rate': 0.3, 'regressor__max_depth': 2, 'regressor__n_estimators': 10}",0.313009349494887,0.3544136171911825,0.477628608692129,0.48638231384529806,0.25214170971774186,0.3767151197882477,0.09196166851297584,5,0.7102760140824556,0.7178126876094384,0.6961138002101994,0.6720618842619844,0.6892447253903293,0.6971018223108814,0.016076118483217067
0.04476146697998047,0.01234341240735891,0.003954696655273438,0.0010140587375598842,0.3,2,25,"{'regressor__learning_rate': 0.3, 'regressor__max_depth': 2, 'regressor__n_estimators': 25}",0.41937295321194634,0.47999850732763816,0.46853544752615006,0.5477405892310059,0.3009278132401063,0.4433150621073693,0.0821386473315672,4,0.8647873938775104,0.8569249532121849,0.8457629790644023,0.856457696457622,0.844674322524543,0.8537214690272524,0.0075550296703010816
0.07029147148132324,0.016545326480906137,0.003423738479614258,0.0006350457480052157,0.3,4,10,"{'regressor__learning_rate': 0.3, 'regressor__max_depth': 4, 'regressor__n_estimators': 10}",0.33538284594021006,0.5628703946126892,0.5645655079263799,0.6201925637727704,0.4482231076680364,0.5062468839840172,0.10212950593395592,3,0.9384736365932244,0.9425987274760455,0.9458308564416968,0.9452233893996074,0.9302447247346555,0.9404742669290458,0.005734223632029278
0.10405049324035645,0.006448740564974388,0.0025196075439453125,8.254724703174843e-05,0.3,4,25,"{'regressor__learning_rate': 0.3, 'regressor__max_depth': 4, 'regressor__n_estimators': 25}",0.37331679448334165,0.6276979056029339,0.6018531342579223,0.6370775074788887,0.5151008119327765,0.5510092307511727,0.09872995501066135,1,0.9912339171571868,0.9893719915593289,0.9912205886460499,0.9902925657534213,0.9923823771437141,0.9909002880519402,0.001011484600758228
